Celine Dion	ESFJ	women_pics/celine-dion.jpg
Charles Darwin	INTP	files2/charles-darwin1.jpg
Charlie Rose	ENFJ	men_files/charlie-rose.jpg
Charlize Theron	ENTJ	women_pics/charlize-theron.jpg
Charlotte Gainsbourg	INTP	women_pics/charlotte-gainsbourg.jpg
Chloe Grace Moretz	ESFP	women_pics/chloe-grace-moretz.jpg
Chloe Sevigny	INFP	women_pics/chloe-sevigny.jpg
Chris Wallace	ESFJ	files2/chris-wallace.jpg
Christian Bale	ISTP	men_files/christian-bale.jpg
Christina Aguilera	ISFP	women_pics/christina-aguilera.jpg
Christopher Hitchens	INTJ	files2/christopher-hitchens.jpg
Christopher Lee	ISTJ	men_files/christopher-lee.jpg
Christopher Walken	ISFJ	men_files/christopher-walken.jpg
Cicero	ENFJ	philosophers_files/cicero.jpg
Clint Eastwood	ISTP	men_files/clint-eastwood.jpg
Cobie Smulders	ENTJ	women_pics/cobiesmulders.jpg
Colin Powell	ESFJ	files2/colin-powell.jpg
Condoleezza Rice	ESTJ	philosophers_files/rice.jpg
Courteney Cox	ESTJ	women_pics/courteney-cox1.jpg
Dakota Fanning	ENFJ	women_pics/dakota-fanning.jpg
Dalai Lama XIV	ISTP	files2/dalai-lama.jpg
Dale Carnegie	ESTP	philosophers_files/carnegie.jpg
Dana White	ESFP	files2/dana-white.jpg
Danica McKellar	ISTJ	women_pics/danica-mckellar.jpg
Daniel Craig	ISTP	men_files/daniel-craig.jpg
Daniel Day-Lewis	INFJ	men_files/daniel-day-lewis.jpg
Daniel Goleman	ENFJ	philosophers_files/goleman.jpg
Daniel Radcliffe	ENFP	men_files/daniel-radcliffe.jpg
Danielle de Niese	ESFP	women_pics/danielle-de-niese.jpg
Dante Alighieri	INFJ	philosophers_files/dante.jpg
David Beckham	ISFP	men_files/david-beckham.jpg
David Blaine	ISTP	men_files/david-blaine.jpg
David Bowie	ISFP	men_files/david-bowie.jpg
David Cronenberg	INTP	men_files/david-cronenberg3.jpg
David Fincher	INFJ	men_files/david-fincher.jpg
David Gilmour	ISFP	men_files/david-gilmour.jpg
David Hume	ENTP	philosophers_files/hume.jpg
David Hyde Pierce	ENTP	men_files/david-hyde-pierce.jpg
David Letterman	ENTJ	men_files/david-letterman.jpg
David Lynch	INFP	philosophers_files/lynch.jpg
David Petraeus	ISFJ	files2/david-petraeus.jpg
David Schwimmer	INFJ	men_files/david-schwimmer.jpg
David Simon	INFP	men_files/david-simon.jpg
Deepak Chopra	ESFP	files2/deepak-chopra.jpg
Demi Moore	ISTP	women_pics/demi-moore.jpg
Denzel Washington	ESFP	men_files/denzel-washington.jpg
Derren Brown	INFJ	men_files/derren-brown.jpg
Desmond Tutu	ESFJ	files2/desmond-tutu.jpg
Diablo Cody	ENTP	women_pics/diablo-cody.jpg
Dick Cheney	ENTJ	files2/dick-cheney.jpg
Diogenes the Dog	ISTP	philosophers_files/diogenes.jpg
Dita von Teese	ISFP	women_pics/dita-von-teese.jpg
Donald Rumsfeld	ISTP	files2/donald-rumsfeld.jpg
Donald Trump	ESTP	philosophers_files/trump.jpg
Douglas MacArthur	ESTP	files2/douglas-macarthur.jpg
Dr. Dre	ISFJ	men_files/dr-dre.jpg
Dr. Drew	ENFJ	files2/drew-pinsky.jpg
Dr. Phil	ESTJ	files2/dr-phil.jpg
Drew Barrymore	ISFP	women_pics/drew_barrymore.jpg
Dwight D. Eisenhower	ISTJ	files2/dwight-eisenhower.jpg
Edgar Allan Poe	INFP	files2/edgar-allan-poe.jpg
Edmund Burke	ENTP	files2/edmund-burke.jpg
Edward Norton	INFJ	men_files/edward-norton.jpg
